DMC Code,Color Name,HEX,R,G,B,RGB
898,Coffee Brown - VY DK,#532F1B,83,47,27,"83, 47, 27"
899,Rose - MED,#EA6B78,234,107,120,"234, 107, 120"
900,Burnt Orange - DK,#C63117,198,49,23,"198, 49, 23"
902,Garnet - VY DK,#651329,101,19,41,"101, 19, 41"
904,Parrot Green - VY DK,#386324,56,99,36,"56, 99, 36"
905,Parrot Green - DK,#467924,70,121,36,"70, 121, 36"
906,Parrot Green - MED,#6C9E29,108,158,41,"108, 158, 41"
907,Parrot Green - LT,#9DC72D,157,199,45,"157, 199, 45"
909,Emerald Green - VY DK,#106B43,16,107,67,"16, 107, 67"
910,Emerald Green - DK,#10814E,16,129,78,"16, 129, 78"
911,Emerald Green - MED,#109256,16,146,86,"16, 146, 86"
912,Emerald Green - LT,#36B26B,54,178,107,"54, 178, 107"
913,Nile Green - MED,#55CA7D,85,202,125,"85, 202, 125"
915,Plum - DK,#95085A,149,8,90,"149, 8, 90"
917,Plum - MED,#AC1071,172,16,113,"172, 16, 113"
918,Red Copper - DK,#883630,136,54,48,"136, 54, 48"
919,Red Copper,#9B371B,155,55,27,"155, 55, 27"
920,Copper - MED,#AB4836,171,72,54,"171, 72, 54"
921,Copper,#C0573D,192,87,61,"192, 87, 61"
922,Copper - LT,#DD6E4C,221,110,76,"221, 110, 76"
924,Gray Green - VY DK,#384A4A,56,74,74,"56, 74, 74"
926,Gray Green - MED,#617674,97,118,116,"97, 118, 116"
927,Gray Green - LT,#9FA8A5,159,168,165,"159, 168, 165"
928,Gray Green - VY LT,#C0C6C0,192,198,192,"192, 198, 192"
930,Antique Blue - DK,#495C6B,73,92,107,"73, 92, 107"
931,Antique Blue - MED,#667684,102,118,132,"102, 118, 132"
932,Antique Blue - LT,#93A0AF,147,160,175,"147, 160, 175"
934,Avocado Green - BLACK,#323324,50,51,36,"50, 51, 36"
935,Avocado Green - DK,#383A2A,56,58,42,"56, 58, 42"
936,Avocado Green - VY DK,#3F4227,63,66,39,"63, 66, 39"
937,Avocado Green - MED,#434F2C,67,79,44,"67, 79, 44"
938,Coffee Brown - ULT DK,#45271A,69,39,26,"69, 39, 26"
939,Blue - VY DK,#09092F,9,9,47,"9, 9, 47"
943,Aquamarine - MED,#009A77,0,154,119,"0, 154, 119"
945,Tawny,#F6C19A,246,193,154,"246, 193, 154"
946,Burnt Orange - MED,#ED4115,237,65,21,"237, 65, 21"
947,Burnt Orange,#FC4F16,252,79,22,"252, 79, 22"
948,Peach - VY LT,#FDE6D3,253,230,211,"253, 230, 211"
950,Desert Sand - LT,#E5AC8D,229,172,141,"229, 172, 141"
951,Tawny - LT,#FADDB6,250,221,182,"250, 221, 182"
954,Nile Green,#6FDA8A,111,218,138,"111, 218, 138"
955,Nile Green - LT,#A8EBAD,168,235,173,"168, 235, 173"
956,Geranium,#F7566D,247,86,109,"247, 86, 109"
